,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,bound sulfur dioxide,free sulfur dioxide,pH,sulphates,alcohol
5368,6.1,0.17,0.42,15.1,0.033,96.0,28.0,2.87,0.47,9.5
3973,6.4,0.32,0.26,7.9,0.05,127.0,53.0,3.14,0.5,9.6
4986,8.1,0.45,0.34,8.3,0.037,183.0,33.0,3.31,0.64,9.7
3822,8.4,0.27,0.3,2.2,0.037,93.0,36.0,2.89,0.3,11.46666667
1122,7.9,0.255,0.26,2.0,0.026,150.0,40.0,3.04,0.39,11.2
2430,5.8,0.32,0.31,2.7,0.049,128.0,25.0,3.44,0.73,12.2
3142,8.0,0.25,0.27,9.7,0.036,70.0,15.0,2.99,0.36,11.2
2993,6.0,0.14,0.17,5.6,0.036,90.0,37.0,3.05,0.57,9.8
2364,7.4,0.2,0.28,9.1,0.047,66.0,29.0,3.16,0.47,9.8
1007,6.4,0.26,0.3,2.2,0.025,101.0,33.0,3.21,0.47,10.6
2992,8.9,0.3,0.35,4.6,0.032,116.0,32.0,3.15,0.45,11.5
3196,6.5,0.26,0.39,1.4,0.02,54.0,12.0,3.25,0.75,11.3
5438,7.0,0.23,0.28,2.7,0.053,76.0,16.0,3.18,0.56,9.3
2195,7.5,0.2,0.47,16.9,0.052,137.0,51.0,3.09,0.62,9.3
4212,6.0,0.14,0.37,1.2,0.032,85.0,63.0,3.32,0.44,11.2
1128,5.1,0.31,0.3,0.9,0.037,124.0,28.0,3.54,0.56,10.1
5079,8.2,0.26,0.33,2.6,0.053,60.0,11.0,2.89,0.49,9.5
3848,7.3,0.28,0.35,1.6,0.054,117.0,31.0,3.18,0.47,10.7
4998,7.1,0.31,0.17,1.0,0.042,123.0,21.0,3.13,0.4,9.6
5680,6.8,0.32,0.34,6.0,0.05,124.0,5.0,3.19,0.4,9.1
4756,7.8,0.13,0.3,1.8,0.04,136.0,43.0,3.43,0.41,9.0
4579,7.9,0.18,0.37,1.2,0.04,59.0,16.0,3.18,0.63,10.8
2281,5.8,0.15,0.28,0.8,0.037,84.0,43.0,3.24,0.51,9.3
5409,7.4,0.38,0.34,8.3,0.052,124.0,44.0,3.11,0.52,9.2
2719,7.4,0.23,0.38,8.6,0.052,109.0,41.0,3.06,0.46,10.3
4060,6.1,0.35,0.24,2.3,0.034,108.0,25.0,3.34,0.59,12.0
4552,7.1,0.31,0.47,13.6,0.056,143.0,54.0,3.1,0.49,9.3
3953,5.9,0.22,0.18,6.4,0.041,92.0,28.0,3.27,0.5,9.9
3172,7.0,0.32,0.27,7.1,0.027,85.0,37.0,3.15,0.6,12.6
2491,7.2,0.21,0.28,2.7,0.033,56.0,38.0,2.99,0.43,11.8
5801,6.8,0.29,0.56,11.9,0.043,164.0,66.0,3.02,0.63,9.3
3645,7.4,0.31,0.26,8.6,0.048,159.0,47.0,3.26,0.36,9.1
2916,6.8,0.23,0.32,8.6,0.046,112.0,47.0,3.08,0.52,10.5
5100,6.4,0.25,0.57,1.0,0.062,101.0,21.0,3.0,0.4,9.5
5867,7.0,0.25,0.29,15.2,0.047,131.0,40.0,3.22,0.45,9.3
1329,7.9,0.42,0.49,8.2,0.056,132.0,32.0,3.29,0.6,11.2
3054,6.2,0.37,0.24,6.1,0.032,67.0,19.0,3.04,0.26,13.4
