,apto
5368,0
3973,0
4986,0
3822,1
1122,1
2430,1
3142,1
2993,1
2364,1
1007,1
2992,1
3196,1
5438,0
2195,0
4212,0
1128,1
5079,0
3848,0
4998,0
5680,0
4756,0
4579,0
2281,0
5409,0
2719,0
4060,1
4552,0
3953,0
3172,1
2491,1
5801,0
3645,0
2916,1
5100,0
5867,0
1329,1
3054,1
1797,1
1748,0
3200,1
1348,0
2356,1
1126,1
5295,0
5869,0
5267,0
4905,0
822,0
4912,0
4083,1
1144,1
4088,1
4049,1
2986,1
1833,0
4285,0
5789,0
2618,1
2502,0
4774,0
3620,0
1438,1
1821,0
2750,1
3845,1
3017,1
4428,0
4213,0
4615,0
5357,0
344,0
1181,1
3743,0
1824,0
1858,1
3121,1
2422,1
3838,1
2291,1
973,0
5472,0
3719,1
5968,0
2793,1
2081,0
2249,1
945,0
376,1
3580,1
273,0
5972,0
276,1
4443,0
5557,0
4848,0
2447,1
3098,1
409,0
2245,1
4495,0
5554,0
1640,0
5760,0
4108,1
1197,1
75,1
2115,0
2354,0
4887,0
1287,1
1378,1
314,1
2944,1
4344,0
1037,1
917,1
1406,0
5376,0
1805,1
4172,0
3251,1
5275,0
2246,1
4880,0
3516,1
219,1
1887,1
190,1
3860,1
1558,1
1185,1
686,0
3598,1
2971,1
5730,0
2924,1
669,1
2762,1
1451,0
2835,1
2468,1
4892,0
5266,0
2417,1
1158,1
2725,0
4453,0
4604,0
5791,0
4204,1
4,1
74,1
379,0
3403,0
5377,0
1183,1
5380,0
4027,0
5052,0
923,1
1264,1
4940,0
2467,1
4862,0
2066,1
1837,1
30,0
2395,1
2627,1
3591,0
4146,1
1146,1
3942,0
2445,0
5817,0
4239,1
3651,1
1828,1
4716,0
4287,1
2294,1
4694,0
1573,1
4184,1
4643,0
2108,1
2514,1
5408,0
5434,0
3634,0
5908,0
4448,0
3989,0
2723,1
1205,1
65,0
5250,0
5488,0
2487,0
969,0
1296,1
3742,0
4356,0
4271,1
2707,1
1803,0
946,0
2999,0
4397,0
1553,1
5400,0
4901,0
2535,1
4578,0
277,0
1879,0
23,1
4403,0
5189,0
2866,0
4074,1
4455,0
2055,1
3753,1
5783,0
4307,0
2964,1
2749,0
1755,1
5273,0
1088,1
915,1
4168,1
639,1
557,1
1515,0
3774,1
4719,0
3622,1
5221,0
1949,0
5429,0
2847,1
607,0
5307,0
3434,1
5213,0
4073,0
1563,1
2493,1
1568,1
4030,0
3655,1
4167,1
883,1
2956,1
4973,0
4192,1
2266,1
4042,1
5336,0
3971,0
3729,0
635,0
4291,0
5777,0
274,1
3907,1
4372,0
3328,0
4481,0
1335,0
5745,0
4531,0
697,1
2177,0
4588,0
4464,0
5349,0
2330,1
5905,0
1749,1
840,1
2006,1
461,1
2480,1
1980,1
53,1
5688,0
5263,0
2213,0
4056,1
4497,0
1265,1
1744,1
4873,0
849,1
1570,1
5085,0
1530,0
5244,0
5920,0
4881,0
3946,0
3478,1
1786,0
5229,0
4125,1
3208,1
1349,0
3133,1
5411,0
5471,0
5573,0
657,0
3393,0
1116,1
4791,0
4115,0
3058,1
1578,1
147,0
4585,0
281,1
3761,0
2594,1
5414,0
3404,0
1209,1
1604,0
4681,0
3230,1
2527,1
1080,1
4798,0
1734,0
363,1
3378,1
3462,1
3728,1
3387,1
2801,0
3442,1
1940,1
1458,0
3175,0
2716,1
5167,0
5150,0
4852,0
3157,1
2007,0
3525,1
5548,0
203,1
1432,1
5893,0
1867,1
4902,0
4293,1
5649,0
47,1
664,1
3741,1
4157,1
3657,1
3659,1
2735,1
1625,1
2436,1
4275,1
4878,0
801,0
4727,0
1050,1
3066,1
3037,1
2454,1
5667,0
573,0
5419,0
4866,0
583,0
270,1
4586,0
471,1
2265,1
5218,0
5013,0
4793,0
3912,1
3951,0
743,1
3940,1
3812,1
637,1
5016,0
3115,1
3170,1
3320,1
2268,1
1737,1
1874,1
162,0
4512,0
5628,0
4711,0
2287,0
1773,0
1439,1
1600,0
3109,0
2392,0
3023,1
4350,0
3147,1
4438,0
3372,1
3126,1
1023,0
2074,1
5933,0
4611,0
2101,0
1606,0
1462,1
